HomeownershipRate,UnemploymentRate,Housing_Supply_Demand_Ratio,VacantHousingUnits_1,TotalShipmentsofNewHomes,MedianListingPriceperSquareFeet,Affordability_Level
65.4,8.3,0.013114754098360656,2199.0,58.0,94.19774767401682,Expensive
65.4,8.2,0.013841807909604521,2199.0,57.0,94.73029308728346,Expensive
65.5,8.2,0.013841807909604521,2413.0,55.0,95.26584923726296,Expensive
65.5,8.2,0.012702702702702703,2413.0,54.0,95.80443314510568,Expensive
65.5,8.2,0.013333333333333332,2413.0,54.0,96.3460619281908,Expensive
65.5,8.2,0.012466124661246612,2271.0,54.0,96.89075280067026,Expensive
65.5,8.1,0.012266666666666665,2271.0,54.0,97.438523074016,Expensive
65.5,7.8,0.011688311688311689,2271.0,53.0,97.98939015757,Expensive
65.4,7.8,0.013687150837988828,2257.0,53.0,98.54337155909776,Expensive
65.4,7.7,0.011734693877551019,2257.0,54.0,99.10048488534454,Expensive
65.4,7.9,0.011278195488721804,2257.0,56.0,99.66074784259511,Expensive
65.0,8.0,0.008968609865470852,2306.0,57.0,100.22417823723649,Expensive
65.0,7.7,0.009172259507829976,2306.0,59.0,100.79079397632364,Expensive
65.0,7.5,0.00945945945945946,2306.0,56.0,101.3606130681489,Expensive
65.0,7.6,0.00997732426303855,2461.0,60.0,101.93365362281416,Expensive
65.0,7.5,0.010747663551401868,2461.0,59.0,102.50993385280644,Expensive
65.0,7.5,0.008723404255319148,2461.0,61.0,103.08947207357684,Expensive
65.3,7.3,0.014666666666666666,2415.0,58.0,103.67228670412248,Expensive
65.3,7.2,0.014435695538057743,2415.0,62.0,104.25839626757195,Expensive
65.3,7.2,0.013399503722084368,2415.0,65.0,104.84781939177418,Expensive
65.2,7.2,0.011036036036036036,2388.0,63.0,105.44057480989018,Expensive
65.2,6.9,0.011210762331838564,2388.0,62.0,106.03668136098868,Expensive
65.2,6.7,0.012009237875288684,2388.0,61.0,106.63615799064472,Expensive
64.8,6.6,0.011512415349887133,2299.0,57.0,107.23902375154186,Expensive
64.8,6.7,0.012619047619047618,2299.0,61.0,107.84529780407772,Expensive
64.8,6.7,0.01382716049382716,2299.0,62.0,108.45499941697284,Expensive
64.7,6.2,0.0141439205955335,2444.0,63.0,109.0681479678832,Expensive
64.7,6.3,0.011529933481152993,2444.0,64.0,109.68476294401606,Expensive
64.7,6.1,0.013636363636363637,2444.0,63.0,110.30486394274924,Expensive
64.4,6.2,0.015422885572139304,2300.0,68.0,110.92847067225402,Expensive
64.4,6.1,0.011842105263157895,2300.0,67.0,111.55560295212156,Expensive
64.4,5.9,0.01148936170212766,2300.0,67.0,112.18628071399264,Expensive
64.0,5.7,0.011134453781512605,1942.0,67.0,112.82052400219132,Expensive
64.0,5.8,0.012895927601809956,1942.0,66.0,113.45835297436196,Expensive
64.0,5.6,0.010261569416498993,1942.0,66.0,114.0997879021097,Expensive
63.7,5.7,0.009320388349514562,1906.0,65.0,114.74484917164496,Expensive
63.7,5.5,0.008333333333333333,1906.0,65.0,115.39355728443128,Expensive
63.7,5.4,0.010624999999999999,1906.0,67.0,116.04593285783676,Expensive
63.4,5.4,0.009760956175298806,2044.0,67.0,116.70199662578965,Expensive
63.4,5.6,0.0099601593625498,2044.0,69.0,117.36176943943693,Expensive
63.4,5.3,0.011250000000000001,2044.0,68.0,118.0252722678073,Expensive
63.7,5.2,0.010276679841897233,2093.0,74.0,118.69252619847748,Expensive
63.7,5.1,0.009652509652509652,2093.0,74.0,119.3635524382425,Expensive
